sales_month,department,category,units_sold,revenue,cost,gross_margin_dollars,gross_margin_rate
2019-04-01,Men,Tops & Tees,4,136.91,79.03,57.88,0.4228
2019-04-01,Women,Sweaters,2,131.48,59.23,72.25,0.5495
2019-04-01,Women,Jeans,2,117.09,65.23,51.86,0.4429
2019-04-01,Men,Suits & Sport Coats,2,115.72,47.16,68.56,0.5925
2019-04-01,Women,Sleep & Lounge,3,106.98,64.66,42.32,0.3956
2019-04-01,Women,Swim,3,103.98,45.27,58.71,0.5646
2019-04-01,Men,Sweaters,2,94.98,48.46,46.52,0.4897
2019-04-01,Women,Outerwear & Coats,2,88.19,42.09,46.1,0.5228
2019-04-01,Women,Shorts,2,73.08,37.45,35.63,0.4875
2019-04-01,Women,Fashion Hoodies & Sweatshirts,1,69.95,34.84,35.11,0.502
2019-04-01,Men,Socks,3,66.99,39.47,27.52,0.4108
2019-04-01,Women,Pants & Capris,2,66.97,35.38,31.59,0.4718
2019-04-01,Men,Swim,1,65.0,39.33,25.67,0.395
2019-04-01,Men,Shorts,2,64.61,32.62,31.99,0.4952
2019-04-01,Women,Active,1,60.0,24.18,35.82,0.597
2019-04-01,Women,Maternity,1,54.99,21.67,33.32,0.606
2019-04-01,Men,Pants,1,34.99,16.66,18.33,0.524
2019-04-01,Women,Socks & Hosiery,2,23.75,10.3,13.45,0.5663
2019-04-01,Women,Plus,1,21.99,10.91,11.08,0.504
2019-04-01,Men,Active,1,17.99,7.48,10.51,0.584
2019-04-01,Men,Accessories,1,8.98,3.75,5.23,0.582
2019-05-01,Women,Outerwear & Coats,3,652.5,283.87,368.63,0.565
2019-05-01,Men,Suits & Sport Coats,3,468.32,203.77,264.55,0.5649
2019-05-01,Men,Sweaters,2,229.99,110.71,119.28,0.5186
2019-05-01,Men,Pants,3,219.52,100.33,119.19,0.543
2019-05-01,Men,Jeans,3,213.94,117.14,96.8,0.4525
2019-05-01,Women,Pants & Capris,4,194.34,108.34,86.0,0.4425
2019-05-01,Men,Tops & Tees,2,183.0,95.04,87.96,0.4807
2019-05-01,Women,Dresses,4,173.6,80.05,93.55,0.5389
2019-05-01,Women,Fashion Hoodies & Sweatshirts,4,173.57,86.21,87.36,0.5033
2019-05-01,Women,Active,2,169.99,75.89,94.1,0.5536
2019-05-01,Women,Maternity,2,150.49,69.38,81.11,0.539
2019-05-01,Men,Fashion Hoodies & Sweatshirts,3,145.35,81.64,63.71,0.4383
2019-05-01,Women,Sleep & Lounge,3,133.85,77.39,56.46,0.4218
2019-05-01,Men,Swim,2,121.97,78.1,43.87,0.3597
2019-05-01,Men,Underwear,4,117.8,53.08,64.72,0.5494
2019-05-01,Women,Jeans,2,104.83,55.05,49.78,0.4748
2019-05-01,Women,Leggings,2,97.75,56.57,41.18,0.4212
2019-05-01,Men,Shorts,2,91.72,48.07,43.65,0.4759
2019-05-01,Women,Intimates,3,83.92,43.06,40.86,0.4869
2019-05-01,Men,Outerwear & Coats,1,79.99,36.88,43.11,0.539
2019-05-01,Women,Shorts,3,75.68,36.69,38.99,0.5153
2019-05-01,Women,Tops & Tees,3,64.97,37.45,27.52,0.4236
2019-05-01,Men,Sleep & Lounge,2,59.3,23.65,35.65,0.6011
2019-05-01,Men,Active,2,54.93,22.84,32.09,0.5842
2019-05-01,Women,Skirts,1,39.5,17.22,22.28,0.564
2019-05-01,Women,Blazers & Jackets,1,34.99,11.58,23.41,0.669
2019-05-01,Women,Socks & Hosiery,2,32.3,13.75,18.55,0.5743
2019-05-01,Men,Socks,1,22.03,13.83,8.2,0.372
2019-05-01,Women,Plus,1,4.21,2.24,1.97,0.469
2019-05-01,Women,Accessories,1,1.51,0.64,0.87,0.573
2019-06-01,Men,Suits & Sport Coats,6,1020.43,401.01,619.42,0.607
2019-06-01,Men,Jeans,7,661.95,340.51,321.44,0.4856
2019-06-01,Men,Shorts,9,544.1,267.1,277.0,0.5091
2019-06-01,Women,Blazers & Jackets,4,468.23,177.41,290.82,0.6211
2019-06-01,Women,Jeans,2,397.0,222.1,174.9,0.4406
2019-06-01,Men,Tops & Tees,11,334.36,183.9,150.46,0.45
2019-06-01,Women,Active,3,272.99,104.79,168.2,0.6161
2019-06-01,Men,Pants,5,250.54,114.54,136.0,0.5428
2019-06-01,Men,Sweaters,4,243.95,119.57,124.38,0.5099
2019-06-01,Women,Accessories,6,239.46,101.87,137.59,0.5746
2019-06-01,Women,Plus,2,214.9,100.78,114.12,0.5311
2019-06-01,Men,Outerwear & Coats,2,185.95,78.66,107.29,0.577
2019-06-01,Women,Intimates,5,185.27,97.07,88.2,0.476
2019-06-01,Women,Sleep & Lounge,4,178.93,102.9,76.03,0.4249
2019-06-01,Women,Pants & Capris,2,170.93,89.74,81.19,0.475
2019-06-01,Men,Fashion Hoodies & Sweatshirts,3,154.17,83.27,70.9,0.4599
2019-06-01,Women,Outerwear & Coats,1,149.5,60.25,89.25,0.597
2019-06-01,Women,Sweaters,3,138.99,60.42,78.57,0.5653
2019-06-01,Women,Maternity,4,138.57,63.89,74.68,0.5389
2019-06-01,Women,Suits,1,127.51,70.51,57.0,0.447
2019-06-01,Men,Swim,3,126.91,71.98,54.93,0.4328
2019-06-01,Men,Underwear,2,78.99,37.32,41.67,0.5275
2019-06-01,Women,Jumpsuits & Rompers,1,78.0,42.43,35.57,0.456
2019-06-01,Men,Socks,2,72.95,46.15,26.8,0.3673
2019-06-01,Men,Accessories,3,67.98,27.91,40.07,0.5895
2019-06-01,Men,Active,2,35.95,13.93,22.02,0.6126
2019-06-01,Women,Skirts,1,35.77,15.77,20.0,0.559
2019-06-01,Women,Swim,1,35.68,13.92,21.76,0.61
2019-06-01,Women,Dresses,2,22.36,10.58,11.78,0.5269
2019-06-01,Women,Leggings,1,15.95,9.24,6.71,0.421
2019-06-01,Women,Socks & Hosiery,1,10.0,4.36,5.64,0.564
2019-07-01,Men,Suits & Sport Coats,5,916.93,372.54,544.39,0.5937
2019-07-01,Women,Jeans,4,568.51,301.86,266.65,0.469
2019-07-01,Men,Swim,9,408.91,235.17,173.74,0.4249
2019-07-01,Men,Jeans,5,397.41,205.59,191.82,0.4827
2019-07-01,Women,Accessories,3,379.82,149.24,230.58,0.6071
2019-07-01,Men,Active,4,349.98,155.27,194.71,0.5563
2019-07-01,Women,Intimates,9,347.21,187.57,159.64,0.4598
2019-07-01,Men,Pants,5,339.97,150.24,189.73,0.5581
2019-07-01,Men,Sweaters,4,337.23,181.05,156.18,0.4631
2019-07-01,Men,Sleep & Lounge,6,325.94,133.88,192.06,0.5892
2019-07-01,Women,Suits,2,281.6,178.96,102.64,0.3645
2019-07-01,Women,Active,2,269.98,102.11,167.87,0.6218
2019-07-01,Men,Outerwear & Coats,2,244.0,101.57,142.43,0.5837
2019-07-01,Men,Tops & Tees,5,236.44,127.51,108.93,0.4607
2019-07-01,Men,Underwear,7,223.14,104.92,118.22,0.5298
2019-07-01,Women,Sleep & Lounge,4,189.98,117.13,72.85,0.3835
2019-07-01,Women,Sweaters,1,179.5,82.39,97.11,0.541
2019-07-01,Men,Shorts,6,178.24,89.22,89.02,0.4995
2019-07-01,Men,Fashion Hoodies & Sweatshirts,3,175.91,93.61,82.3,0.4679
2019-07-01,Women,Outerwear & Coats,1,170.0,72.25,97.75,0.575
2019-07-01,Women,Leggings,3,152.99,90.7,62.29,0.4071
2019-07-01,Women,Blazers & Jackets,2,151.67,58.8,92.87,0.6123
2019-07-01,Women,Swim,3,150.66,59.43,91.23,0.6055
2019-07-01,Women,Fashion Hoodies & Sweatshirts,3,129.48,62.27,67.21,0.5191
2019-07-01,Men,Accessories,3,125.42,52.14,73.28,0.5843
2019-07-01,Women,Maternity,3,106.92,48.28,58.64,0.5485
2019-07-01,Women,Pants & Capris,3,65.51,34.34,31.17,0.4758
2019-07-01,Women,Clothing Sets,1,62.99,38.3,24.69,0.392
2019-07-01,Women,Dresses,2,62.57,30.07,32.5,0.5195
2019-07-01,Women,Tops & Tees,1,59.99,34.25,25.74,0.429
2019-07-01,Men,Socks,4,50.0,29.24,20.76,0.4152
2019-07-01,Women,Plus,1,43.99,23.27,20.72,0.471
2019-07-01,Women,Socks & Hosiery,2,28.99,11.05,17.94,0.6187
2019-08-01,Men,Suits & Sport Coats,6,691.76,264.01,427.75,0.6184
2019-08-01,Women,Jeans,6,645.03,351.59,293.44,0.4549
2019-08-01,Men,Jeans,5,566.94,299.66,267.28,0.4714
2019-08-01,Women,Intimates,11,522.79,285.58,237.21,0.4537
2019-08-01,Women,Sweaters,3,464.49,221.5,242.99,0.5231
2019-08-01,Men,Outerwear & Coats,3,354.45,159.6,194.85,0.5497
2019-08-01,Men,Sweaters,6,351.42,175.91,175.51,0.4994
2019-08-01,Men,Swim,6,326.49,198.51,127.98,0.392
2019-08-01,Men,Fashion Hoodies & Sweatshirts,6,323.74,177.52,146.22,0.4517
2019-08-01,Men,Tops & Tees,7,283.42,162.37,121.05,0.4271
2019-08-01,Women,Plus,4,263.74,127.1,136.64,0.5181
2019-08-01,Men,Accessories,5,257.54,94.41,163.13,0.6334
2019-08-01,Women,Swim,4,235.44,95.34,140.1,0.595
2019-08-01,Women,Tops & Tees,4,229.4,124.78,104.62,0.4561
2019-08-01,Women,Sleep & Lounge,4,146.0,86.09,59.91,0.4103
2019-08-01,Men,Active,5,138.21,55.03,83.18,0.6018
2019-08-01,Women,Maternity,3,129.48,53.71,75.77,0.5852
2019-08-01,Women,Fashion Hoodies & Sweatshirts,3,126.48,55.58,70.9,0.5605
2019-08-01,Women,Shorts,3,118.4,62.76,55.64,0.4699
2019-08-01,Women,Skirts,3,111.84,45.16,66.68,0.5962
2019-08-01,Women,Accessories,4,110.71,41.06,69.65,0.6292
2019-08-01,Men,Shorts,4,105.16,53.1,52.06,0.495
2019-08-01,Women,Outerwear & Coats,1,94.0,40.04,53.96,0.574
2019-08-01,Men,Underwear,4,88.6,39.78,48.82,0.551
2019-08-01,Men,Sleep & Lounge,2,81.56,34.33,47.23,0.5791
2019-08-01,Men,Pants,2,79.94,37.07,42.87,0.5362
2019-08-01,Women,Dresses,2,58.62,24.58,34.04,0.5807
2019-08-01,Men,Socks,3,50.97,31.06,19.91,0.3905
2019-08-01,Women,Active,1,45.0,18.63,26.37,0.586
2019-08-01,Women,Socks & Hosiery,2,34.99,15.28,19.71,0.5634
2019-08-01,Women,Leggings,2,32.9,18.37,14.53,0.4417
2019-09-01,Women,Outerwear & Coats,3,849.0,408.77,440.23,0.5185
2019-09-01,Men,Suits & Sport Coats,6,786.82,315.24,471.58,0.5993
2019-09-01,Men,Sweaters,7,657.57,339.76,317.81,0.4833
2019-09-01,Men,Outerwear & Coats,5,567.98,254.02,313.96,0.5528
2019-09-01,Women,Intimates,11,478.64,255.24,223.4,0.4667
2019-09-01,Men,Sleep & Lounge,10,475.34,198.18,277.16,0.5831
2019-09-01,Men,Fashion Hoodies & Sweatshirts,7,468.51,267.9,200.61,0.4282
2019-09-01,Men,Jeans,3,441.99,252.01,189.98,0.4298
2019-09-01,Men,Pants,7,414.98,182.57,232.41,0.5601
2019-09-01,Women,Jeans,5,355.89,200.32,155.57,0.4371
2019-09-01,Men,Active,7,354.94,147.23,207.71,0.5852
2019-09-01,Men,Tops & Tees,5,271.15,152.54,118.61,0.4374
2019-09-01,Women,Sleep & Lounge,4,271.14,159.63,111.51,0.4113
2019-09-01,Women,Blazers & Jackets,3,261.99,102.17,159.82,0.61
2019-09-01,Women,Maternity,5,253.96,113.08,140.88,0.5547
2019-09-01,Women,Leggings,3,217.15,138.48,78.67,0.3623
2019-09-01,Men,Underwear,8,196.69,90.02,106.67,0.5423
2019-09-01,Women,Dresses,4,191.48,88.28,103.2,0.5389
2019-09-01,Women,Pants & Capris,2,189.99,105.37,84.62,0.4454
2019-09-01,Men,Swim,3,186.99,115.08,71.91,0.3846
2019-09-01,Men,Shorts,4,176.47,89.1,87.37,0.4951
2019-09-01,Women,Sweaters,2,172.05,81.88,90.17,0.5241
2019-09-01,Women,Clothing Sets,1,169.0,107.31,61.69,0.365
2019-09-01,Men,Accessories,6,154.67,59.62,95.05,0.6145
2019-09-01,Women,Fashion Hoodies & Sweatshirts,4,152.4,67.87,84.53,0.5547
2019-09-01,Women,Jumpsuits & Rompers,1,129.99,70.58,59.41,0.457
2019-09-01,Women,Skirts,3,122.47,48.05,74.42,0.6077
2019-09-01,Women,Tops & Tees,2,87.98,49.33,38.65,0.4393
2019-09-01,Women,Swim,1,78.0,36.43,41.57,0.533
2019-09-01,Women,Accessories,2,59.99,23.88,36.11,0.6019
2019-09-01,Men,Socks,2,50.86,30.86,20.0,0.3932
2019-09-01,Women,Active,2,46.94,21.78,25.16,0.5361
2019-09-01,Women,Plus,1,18.9,9.71,9.19,0.486
2019-09-01,Women,Socks & Hosiery,1,6.99,2.47,4.52,0.647
2019-10-01,Women,Jeans,10,1052.42,547.97,504.45,0.4793
2019-10-01,Men,Sweaters,9,805.72,406.35,399.37,0.4957
2019-10-01,Men,Swim,10,541.89,315.58,226.31,0.4176
2019-10-01,Men,Jeans,8,502.76,267.57,235.19,0.4678
2019-10-01,Men,Fashion Hoodies & Sweatshirts,5,450.98,251.27,199.71,0.4428
2019-10-01,Men,Tops & Tees,10,440.97,245.33,195.64,0.4437
2019-10-01,Men,Pants,7,371.86,177.44,194.42,0.5228
2019-10-01,Women,Swim,5,320.74,141.68,179.06,0.5583
2019-10-01,Women,Accessories,4,308.99,114.53,194.46,0.6293
2019-10-01,Men,Outerwear & Coats,2,298.99,142.27,156.72,0.5242
2019-10-01,Women,Sweaters,7,270.7,120.03,150.67,0.5566
2019-10-01,Women,Blazers & Jackets,2,257.49,99.05,158.44,0.6153
2019-10-01,Men,Sleep & Lounge,7,232.89,91.99,140.9,0.605
2019-10-01,Men,Underwear,9,210.22,97.84,112.38,0.5346
2019-10-01,Women,Maternity,5,197.93,91.17,106.76,0.5394
2019-10-01,Women,Active,3,194.48,79.54,114.94,0.591
2019-10-01,Men,Accessories,6,188.78,79.56,109.22,0.5786
2019-10-01,Women,Fashion Hoodies & Sweatshirts,4,169.96,79.82,90.14,0.5303
2019-10-01,Women,Intimates,5,159.95,83.93,76.02,0.4753
2019-10-01,Men,Active,5,140.87,61.7,79.17,0.562
2019-10-01,Men,Shorts,3,131.04,70.24,60.8,0.464
2019-10-01,Women,Sleep & Lounge,3,130.9,79.6,51.3,0.3919
2019-10-01,Women,Dresses,5,127.69,56.05,71.64,0.561
2019-10-01,Men,Suits & Sport Coats,3,107.86,38.6,69.26,0.6422
2019-10-01,Women,Tops & Tees,3,103.99,60.19,43.8,0.4212
2019-10-01,Women,Jumpsuits & Rompers,1,78.0,42.43,35.57,0.456
2019-10-01,Women,Shorts,2,61.0,32.73,28.27,0.4634
2019-10-01,Women,Plus,2,57.0,30.27,26.73,0.469
2019-10-01,Women,Skirts,1,56.0,19.71,36.29,0.648
2019-10-01,Women,Socks & Hosiery,3,37.95,14.84,23.11,0.6089
2019-10-01,Women,Outerwear & Coats,1,32.5,13.81,18.69,0.575
2019-10-01,Women,Leggings,2,21.97,12.94,9.03,0.4109
2019-10-01,Men,Socks,2,18.37,11.06,7.31,0.3978
2019-11-01,Men,Outerwear & Coats,6,1985.96,918.05,1067.91,0.5377
2019-11-01,Men,Suits & Sport Coats,7,1070.14,431.58,638.56,0.5967
2019-11-01,Men,Fashion Hoodies & Sweatshirts,12,798.26,436.93,361.33,0.4526
2019-11-01,Men,Jeans,6,719.0,382.49,336.51,0.468
2019-11-01,Women,Outerwear & Coats,3,694.64,293.89,400.75,0.5769
2019-11-01,Women,Intimates,16,549.44,294.09,255.35,0.4647
2019-11-01,Men,Shorts,7,443.54,218.85,224.69,0.5066
2019-11-01,Men,Sleep & Lounge,10,393.07,161.65,231.42,0.5887
2019-11-01,Women,Maternity,6,379.92,171.92,208.0,0.5475
2019-11-01,Women,Swim,2,321.76,144.37,177.39,0.5513
2019-11-01,Women,Shorts,8,300.17,144.46,155.71,0.5187
2019-11-01,Women,Accessories,5,252.3,102.43,149.87,0.594
2019-11-01,Women,Pants & Capris,3,229.29,124.39,104.9,0.4575
2019-11-01,Men,Pants,4,224.27,95.71,128.56,0.5732
2019-11-01,Women,Dresses,2,207.99,87.52,120.47,0.5792
2019-11-01,Men,Accessories,4,200.42,84.52,115.9,0.5783
2019-11-01,Women,Sleep & Lounge,3,198.98,121.18,77.8,0.391
2019-11-01,Women,Plus,5,191.72,95.45,96.27,0.5021
2019-11-01,Men,Underwear,8,181.75,84.78,96.97,0.5335
2019-11-01,Men,Swim,4,174.97,101.23,73.74,0.4214
2019-11-01,Women,Active,3,156.6,65.1,91.5,0.5843
2019-11-01,Women,Blazers & Jackets,1,147.0,58.21,88.79,0.604
2019-11-01,Men,Tops & Tees,4,145.97,83.22,62.75,0.4299
2019-11-01,Men,Sweaters,2,134.7,66.76,67.94,0.5044
2019-11-01,Women,Tops & Tees,5,118.95,64.5,54.45,0.4578
2019-11-01,Women,Sweaters,2,112.99,53.93,59.06,0.5227
2019-11-01,Men,Active,2,109.98,48.32,61.66,0.5606
2019-11-01,Women,Jeans,1,101.99,51.3,50.69,0.497
2019-11-01,Women,Leggings,5,90.49,54.95,35.54,0.3927
2019-11-01,Women,Fashion Hoodies & Sweatshirts,2,87.0,39.61,47.39,0.5447
2019-11-01,Men,Socks,6,79.7,46.28,33.42,0.4194
2019-11-01,Women,Socks & Hosiery,5,77.97,31.07,46.9,0.6015
2019-11-01,Women,Skirts,1,46.46,17.19,29.27,0.63
2019-12-01,Men,Outerwear & Coats,8,1935.05,804.37,1130.68,0.5843
2019-12-01,Men,Jeans,10,1533.8,806.6,727.2,0.4741
2019-12-01,Women,Jeans,5,779.0,441.7,337.3,0.433
2019-12-01,Women,Swim,9,733.48,324.39,409.09,0.5577
2019-12-01,Men,Pants,10,637.54,282.97,354.57,0.5562
2019-12-01,Women,Dresses,11,614.09,280.94,333.15,0.5425
2019-12-01,Women,Intimates,20,602.95,321.14,281.81,0.4674
2019-12-01,Men,Sweaters,6,550.49,278.94,271.55,0.4933
2019-12-01,Women,Sweaters,6,521.73,236.71,285.02,0.5463
2019-12-01,Women,Fashion Hoodies & Sweatshirts,6,449.15,222.52,226.63,0.5046
2019-12-01,Men,Shorts,10,448.62,226.82,221.8,0.4944
2019-12-01,Men,Fashion Hoodies & Sweatshirts,7,439.15,249.24,189.91,0.4325
2019-12-01,Men,Sleep & Lounge,11,431.89,175.06,256.83,0.5947
2019-12-01,Women,Sleep & Lounge,5,390.93,228.71,162.22,0.415
2019-12-01,Men,Suits & Sport Coats,4,352.27,147.26,205.01,0.582
2019-12-01,Women,Blazers & Jackets,2,329.99,132.23,197.76,0.5993
2019-12-01,Men,Tops & Tees,9,291.97,164.74,127.23,0.4358
2019-12-01,Women,Maternity,8,286.39,124.74,161.65,0.5644
2019-12-01,Women,Suits,2,276.0,157.63,118.37,0.4289
2019-12-01,Men,Swim,5,250.07,155.6,94.47,0.3778
2019-12-01,Women,Outerwear & Coats,3,245.99,109.08,136.91,0.5566
2019-12-01,Women,Plus,5,223.93,113.32,110.61,0.4939
2019-12-01,Men,Underwear,7,173.69,79.44,94.25,0.5426
2019-12-01,Men,Accessories,8,173.65,74.87,98.78,0.5688
2019-12-01,Women,Active,4,153.93,64.21,89.72,0.5829
2019-12-01,Women,Pants & Capris,3,106.92,55.76,51.16,0.4785
2019-12-01,Women,Shorts,3,82.45,41.18,41.27,0.5005
2019-12-01,Women,Tops & Tees,3,71.95,41.51,30.44,0.4231
2019-12-01,Women,Leggings,3,70.88,40.32,30.56,0.4311
2019-12-01,Men,Socks,5,64.39,38.68,25.71,0.3993
2019-12-01,Women,Skirts,2,54.48,23.11,31.37,0.5758
2019-12-01,Women,Jumpsuits & Rompers,1,48.0,26.98,21.02,0.438
2019-12-01,Men,Active,2,36.94,16.37,20.57,0.5569
2019-12-01,Women,Accessories,2,30.0,11.98,18.02,0.6008
2019-12-01,Women,Socks & Hosiery,3,29.59,11.82,17.77,0.6005
2020-01-01,Men,Outerwear & Coats,9,2425.57,1056.96,1368.61,0.5642
2020-01-01,Men,Suits & Sport Coats,11,1484.01,588.27,895.74,0.6036
2020-01-01,Women,Dresses,9,1223.6,565.96,657.64,0.5375
2020-01-01,Women,Swim,12,991.53,410.78,580.75,0.5857
2020-01-01,Women,Outerwear & Coats,7,989.98,460.64,529.34,0.5347
2020-01-01,Men,Sweaters,8,810.86,405.4,405.46,0.5
2020-01-01,Men,Jeans,9,739.89,400.06,339.83,0.4593
2020-01-01,Men,Pants,10,590.91,267.16,323.75,0.5479
2020-01-01,Women,Blazers & Jackets,5,589.85,228.92,360.93,0.6119
2020-01-01,Men,Swim,10,579.45,350.18,229.27,0.3957
2020-01-01,Men,Shorts,14,572.1,278.02,294.08,0.514
2020-01-01,Women,Sweaters,4,544.8,245.64,299.16,0.5491
2020-01-01,Men,Fashion Hoodies & Sweatshirts,8,501.44,279.92,221.52,0.4418
2020-01-01,Men,Tops & Tees,12,493.55,273.07,220.48,0.4467
2020-01-01,Women,Intimates,17,458.98,247.29,211.69,0.4612
2020-01-01,Women,Suits,3,392.17,243.31,148.86,0.3796
2020-01-01,Women,Jeans,4,360.99,198.0,162.99,0.4515
2020-01-01,Men,Accessories,8,305.06,121.27,183.79,0.6025
2020-01-01,Women,Accessories,7,288.66,107.49,181.17,0.6276
2020-01-01,Men,Underwear,10,245.64,116.87,128.77,0.5242
2020-01-01,Women,Sleep & Lounge,7,244.12,142.58,101.54,0.4159
2020-01-01,Women,Active,4,237.87,104.73,133.14,0.5597
2020-01-01,Men,Active,6,236.64,103.64,133.0,0.562
2020-01-01,Women,Tops & Tees,8,221.98,126.73,95.25,0.4291
2020-01-01,Women,Fashion Hoodies & Sweatshirts,4,204.41,104.13,100.28,0.4906
2020-01-01,Women,Maternity,6,192.88,82.76,110.12,0.5709
2020-01-01,Women,Leggings,7,175.9,103.69,72.21,0.4105
2020-01-01,Men,Socks,9,162.18,95.96,66.22,0.4083
2020-01-01,Women,Shorts,5,121.52,61.4,60.12,0.4947
2020-01-01,Men,Sleep & Lounge,4,119.59,46.24,73.35,0.6134
2020-01-01,Women,Socks & Hosiery,8,115.23,47.98,67.25,0.5836
2020-01-01,Women,Pants & Capris,3,92.63,51.23,41.4,0.4469
2020-01-01,Women,Plus,4,75.32,38.28,37.04,0.4917
2020-01-01,Women,Jumpsuits & Rompers,1,25.5,13.8,11.7,0.459
2020-02-01,Women,Intimates,18,1377.72,762.57,615.15,0.4465
2020-02-01,Men,Outerwear & Coats,9,1100.81,479.22,621.59,0.5647
2020-02-01,Men,Jeans,10,973.33,491.05,482.28,0.4955
2020-02-01,Men,Sweaters,7,715.6,353.74,361.86,0.5057
2020-02-01,Men,Suits & Sport Coats,3,689.97,249.87,440.1,0.6379
2020-02-01,Men,Tops & Tees,12,507.44,283.34,224.1,0.4416
2020-02-01,Men,Swim,9,501.78,300.63,201.15,0.4009
2020-02-01,Women,Jeans,5,433.4,249.67,183.73,0.4239
2020-02-01,Women,Swim,6,408.97,183.98,224.99,0.5501
2020-02-01,Women,Plus,12,360.43,182.37,178.05,0.494
2020-02-01,Men,Fashion Hoodies & Sweatshirts,4,347.47,184.31,163.16,0.4696
2020-02-01,Women,Maternity,5,347.0,158.4,188.6,0.5435
2020-02-01,Women,Sweaters,4,335.42,144.16,191.26,0.5702
2020-02-01,Men,Pants,7,331.42,152.52,178.9,0.5398
2020-02-01,Men,Sleep & Lounge,7,315.36,126.78,188.58,0.598
2020-02-01,Women,Outerwear & Coats,2,314.94,150.96,163.98,0.5207
2020-02-01,Men,Shorts,6,299.21,148.44,150.77,0.5039
2020-02-01,Women,Fashion Hoodies & Sweatshirts,5,274.94,131.52,143.42,0.5216
2020-02-01,Women,Sleep & Lounge,6,263.93,161.66,102.27,0.3875
2020-02-01,Women,Pants & Capris,5,260.4,138.61,121.79,0.4677
2020-02-01,Women,Shorts,6,252.43,134.42,118.01,0.4675
2020-02-01,Men,Active,7,251.32,105.03,146.29,0.5821
2020-02-01,Women,Dresses,5,230.95,109.18,121.77,0.5272
2020-02-01,Women,Active,6,228.0,92.99,135.01,0.5921
2020-02-01,Women,Blazers & Jackets,3,210.99,72.85,138.14,0.6547
