category,department,brand,inventory_units,inventory_cost,inventory_retail_value,units_sold_90d,sell_through_proxy,weeks_of_supply_proxy
Underwear,Men,2(x)ist,491,5956.41,12710.5,39,0.0736,12.59
Fashion Hoodies & Sweatshirts,Women,Roxy,484,11541.48,24485.41,35,0.0674,13.83
Intimates,Women,Vanity Fair,473,5493.82,10358.91,43,0.0833,11.0
Socks & Hosiery,Women,HUE,467,2322.55,5700.27,31,0.0622,15.06
Swim,Men,Volcom,464,13740.48,22793.47,30,0.0607,15.47
Intimates,Women,SEX NIGHT,461,5653.4,10813.0,36,0.0724,12.81
Tops & Tees,Men,Volcom,460,9922.59,17757.49,34,0.0688,13.53
Intimates,Women,Ilusion,458,2804.34,5350.88,27,0.0557,16.96
Socks,Men,Gold Toe,449,6461.71,10602.0,33,0.0685,13.61
Intimates,Women,Flexees,441,9602.98,17737.41,34,0.0716,12.97
Dresses,Women,Hot from Hollywood,440,8154.0,17943.6,29,0.0618,15.17
Accessories,Men,Carhartt,438,4207.15,10626.38,34,0.072,12.88
Jeans,Men,Levi's,429,12801.81,24197.17,29,0.0633,14.79
Fashion Hoodies & Sweatshirts,Men,DC,423,12721.94,22983.06,29,0.0642,14.59
Accessories,Women,Ray-Ban,421,19007.63,47566.6,32,0.0706,13.16
Intimates,Women,Calvin Klein,421,4962.08,9287.0,31,0.0686,13.58
Tops & Tees,Men,Van Heusen,416,9345.99,16713.88,34,0.0756,12.24
Sweaters,Men,Tommy Hilfiger,415,14093.64,27990.23,36,0.0798,11.53
Maternity,Women,A Pea in the Pod,413,8437.07,19162.0,30,0.0677,13.77
Maternity,Women,Three Seasons Maternity,412,6558.06,14632.28,22,0.0507,18.73
Underwear,Men,C-IN2,412,5451.41,11378.34,27,0.0615,15.26
Sleep & Lounge,Men,Bottoms Out,411,3651.78,9141.85,27,0.0616,15.22
Underwear,Men,Duofold,408,5777.38,12142.62,31,0.0706,13.16
Leggings,Women,Allegra K,407,2307.25,3883.39,45,0.0996,9.04
Active,Women,adidas,406,12740.13,30550.88,27,0.0624,15.04
Suits & Sport Coats,Men,Tommy Hilfiger,405,29806.87,74310.2,28,0.0647,14.46
Socks,Men,SmartWool,396,6355.45,10426.59,32,0.0748,12.38
Pants,Men,Savane,395,7499.77,16353.86,35,0.0814,11.29
Intimates,Women,Barely There,395,4945.97,9526.85,36,0.0835,10.97
Pants,Men,Calvin Klein,392,10335.0,22549.93,28,0.0667,14.0
Pants & Capris,Women,Jones New York,390,13587.26,25729.68,29,0.0692,13.45
Fashion Hoodies & Sweatshirts,Men,Fox,388,14254.86,25605.82,35,0.0827,11.09
Sleep & Lounge,Men,Tommy Bahama,387,7802.1,20102.82,25,0.0607,15.48
Suits & Sport Coats,Men,Haggar,386,13970.28,34708.79,35,0.0831,11.03
Socks,Men,HUGO BOSS,386,2819.45,4667.17,24,0.0585,16.08
Suits & Sport Coats,Men,Joseph Abboud,385,33602.0,82414.68,25,0.061,15.4
Tops & Tees,Men,U.S. Polo Assn.,385,6785.77,12058.07,25,0.061,15.4
Socks,Men,Wigwam,383,3850.16,6336.52,28,0.0681,13.68
Intimates,Women,Bslingerie,381,4385.64,8233.67,25,0.0616,15.24
Sweaters,Men,Allegra K,379,3251.47,6466.81,26,0.0642,14.58
Intimates,Women,Frederick's of Hollywood,377,8309.98,15597.0,34,0.0827,11.09
Intimates,Women,Fashion Forms,374,3747.2,6996.41,25,0.0627,14.96
Socks,Men,Hanes,374,3000.53,4979.06,23,0.0579,16.26
Jeans,Men,Volcom,371,14571.86,27304.05,30,0.0748,12.37
Tops & Tees,Women,Patty,371,6754.18,12061.32,33,0.0817,11.24
Jeans,Women,True Religion,367,43880.91,81299.84,25,0.0638,14.68
Fashion Hoodies & Sweatshirts,Men,Quiksilver,365,11605.46,21542.74,26,0.0665,14.04
Swim,Men,Billabong,365,11525.16,19420.43,22,0.0568,16.59
Jeans,Men,Carhartt,365,10536.91,20001.84,29,0.0736,12.59
Jeans,Men,Hot Topic,365,7272.9,13753.94,24,0.0617,15.21
Swim,Women,Roxy,362,6557.07,15802.33,31,0.0789,11.68
Fashion Hoodies & Sweatshirts,Women,Fox,355,9432.36,20558.91,22,0.0584,16.14
Pants & Capris,Women,Allegra K,355,2410.46,4485.41,20,0.0533,17.75
Shorts,Men,O'Neill,353,7861.82,15844.56,26,0.0686,13.58
Tops & Tees,Men,Harley-Davidson,352,6474.87,11421.55,29,0.0761,12.14
Sleep & Lounge,Men,American Essentials,344,9520.43,24199.38,25,0.0678,13.76
Active,Men,Columbia,342,7781.78,18610.6,23,0.063,14.87
Sleep & Lounge,Men,KNOTHE CORP.,342,4258.93,10486.37,21,0.0579,16.29
Pants,Men,Orvis,340,19644.06,43244.0,32,0.086,10.63
Suits,Women,Evan Picone,338,24730.98,40612.99,19,0.0532,17.79
Active,Men,Carhartt,336,7747.41,18450.05,28,0.0769,12.0
Outerwear & Coats,Men,Levi's,335,17049.79,38165.43,25,0.0694,13.4
Socks & Hosiery,Women,Sock It To Me,333,1935.82,4928.65,35,0.0951,9.51
Blazers & Jackets,Women,Sutton Studio,331,11971.54,31245.73,26,0.0728,12.73
Underwear,Men,Emporio Armani,331,4945.32,10431.64,25,0.0702,13.24
Swim,Men,Kanu Surf,328,4881.31,8106.24,23,0.0655,14.26
Sleep & Lounge,Women,DREAMS,326,5565.2,9421.74,29,0.0817,11.24
Active,Men,Nike,324,5456.24,12632.74,29,0.0822,11.17
Socks,Men,Thorlo,324,4185.06,7001.98,27,0.0769,12.0
Socks & Hosiery,Women,Hanes,324,2722.64,6839.2,28,0.0795,11.57
Suits & Sport Coats,Men,Paul Fredrick,323,31835.9,79958.5,22,0.0638,14.68
Jeans,Women,Lucky Brand,323,14085.21,25969.85,32,0.0901,10.09
Active,Men,Russell Athletic,322,3575.16,8623.7,25,0.072,12.88
Intimates,Women,Fruit of the Loom,321,2471.04,4663.73,22,0.0641,14.59
Intimates,Women,Cosabella,318,10175.45,19150.5,31,0.0888,10.26
Intimates,Women,Braza,317,1825.78,3381.96,23,0.0676,13.78
Outerwear & Coats,Men,Kenneth Cole,316,16654.61,37055.04,31,0.0893,10.19
Fashion Hoodies & Sweatshirts,Men,Volcom,309,10675.12,19241.94,22,0.0665,14.05
Pants,Men,Louis Raphael,309,7400.58,16347.91,24,0.0721,12.88
Leggings,Women,Anna-Kaci,309,2938.4,4932.1,27,0.0804,11.44
Jeans,Women,PAIGE,306,27720.14,50784.14,26,0.0783,11.77
Sleep & Lounge,Women,HUE,306,5299.48,8872.2,22,0.0671,13.91
Tops & Tees,Men,Hurley,304,5420.46,9509.43,30,0.0898,10.13
Leggings,Women,SK Hat shop,304,1990.13,3360.8,25,0.076,12.16
Tops & Tees,Men,Columbia,303,9469.15,17190.08,19,0.059,15.95
Sweaters,Men,Nautica,302,7662.83,15455.83,22,0.0679,13.73
Maternity,Women,Ripe Maternity,301,9758.71,21791.23,20,0.0623,15.05
Active,Women,SmartWool,301,6379.55,15303.21,24,0.0738,12.54
Tops & Tees,Men,Tommy Hilfiger,301,6311.41,11464.77,25,0.0767,12.04
Outerwear & Coats,Men,Dickies,300,9631.24,22030.9,21,0.0654,14.29
Sleep & Lounge,Men,Spa & Resort,300,6586.09,16455.0,23,0.0712,13.04
Pants,Men,Perry Ellis,300,5670.31,12620.3,17,0.0536,17.65
Jeans,Women,Lee,300,5440.87,9907.42,18,0.0566,16.67
Sleep & Lounge,Men,Hanro,299,15408.83,39792.92,14,0.0447,21.36
Fashion Hoodies & Sweatshirts,Women,Volcom,299,7889.49,16964.08,23,0.0714,13.0
Intimates,Women,Playtex,299,6644.16,12693.17,15,0.0478,19.93
Swim,Women,Seafolly,297,11963.91,28668.4,25,0.0776,11.88
Outerwear & Coats,Men,Calvin Klein,294,18231.24,41006.91,24,0.0755,12.25
Fashion Hoodies & Sweatshirts,Women,Hurley,293,6895.32,14488.92,26,0.0815,11.27
Pants & Capris,Women,Alfred Dunner,292,4868.08,9178.49,21,0.0671,13.9
Tops & Tees,Men,DC,290,4568.57,8218.43,27,0.0852,10.74
Suits & Sport Coats,Men,Calvin Klein,289,18511.84,46554.19,21,0.0677,13.76
Fashion Hoodies & Sweatshirts,Men,Hurley,287,10550.69,19340.8,27,0.086,10.63
Jeans,Men,Silver Jeans,283,13267.11,24735.02,19,0.0629,14.89
Fashion Hoodies & Sweatshirts,Men,Hot Topic,283,6912.5,12583.5,27,0.0871,10.48
Sleep & Lounge,Women,Nautica,283,4950.82,8351.66,17,0.0567,16.65
Shorts,Men,Wrangler,283,4772.02,9359.04,12,0.0407,23.58
Plus,Women,Ray-Ban,282,15781.61,31373.81,23,0.0754,12.26
Pants,Men,Geoffrey Beene,280,4687.77,10216.01,20,0.0667,14.0
Active,Men,Hanes,280,2499.87,5982.86,20,0.0667,14.0
Suits & Sport Coats,Men,Ralph Lauren,279,14609.47,37088.14,24,0.0792,11.63
Sweaters,Men,Paul Fredrick,276,12153.78,24097.0,15,0.0515,18.4
Outerwear & Coats,Women,Columbia,276,11360.14,25184.77,17,0.058,16.24
Suits,Women,Ice,276,7840.61,12801.24,22,0.0738,12.55
Shorts,Men,Burnside,276,4475.32,8984.33,28,0.0921,9.86
Leggings,Women,LeggingsQueen,274,3901.29,6476.3,15,0.0519,18.27
Maternity,Women,Allegra K,274,2027.04,4704.75,17,0.0584,16.12
Jeans,Women,Joe's Jeans,273,23308.67,42312.58,24,0.0808,11.38
Accessories,Men,TheTieBar,273,1882.14,4722.27,18,0.0619,15.17
Intimates,Women,Under Moments,273,1722.61,3243.78,14,0.0488,19.5
Fashion Hoodies & Sweatshirts,Men,Metal Mulisha,272,8401.11,15150.65,17,0.0588,16.0
Sleep & Lounge,Women,Alexander Del Rossa,269,6654.14,11064.31,24,0.0819,11.21
Tops & Tees,Women,Lucky Brand,268,8066.79,14566.94,26,0.0884,10.31
Suits,Women,Kasper,267,24807.73,40949.48,21,0.0729,12.71
Shorts,Women,Roxy,266,4974.41,9959.77,19,0.0667,14.0
Underwear,Men,Tommy Hilfiger,266,3048.72,6453.5,24,0.0828,11.08
Jeans,Women,Silver Jeans,265,11518.06,21069.26,16,0.0569,16.56
Sweaters,Men,Fred Perry,264,17646.81,33961.3,15,0.0538,17.6
Fashion Hoodies & Sweatshirts,Men,Alpinestars,263,7891.16,14240.51,24,0.0836,10.96
Sleep & Lounge,Men,Alexander Del Rossa,261,5104.13,12853.63,24,0.0842,10.88
Shorts,Men,Allegra K,260,1858.6,3767.29,15,0.0545,17.33
Intimates,Women,Felina,258,4475.83,8505.81,17,0.0618,15.18
Jeans,Women,Calvin Klein Jeans,255,7344.93,13811.69,28,0.0989,9.11
Active,Men,SmartWool,255,7199.42,17014.32,26,0.0925,9.81
Shorts,Women,American Apparel,255,4881.07,9685.0,15,0.0556,17.0
Outerwear & Coats,Men,Mountain Hardwear,254,24685.91,54933.95,15,0.0558,16.93
Jeans,Men,Lee,254,5010.45,9379.93,14,0.0522,18.14
Socks,Men,K. Bell,254,1487.82,2459.0,22,0.0797,11.55
Shorts,Men,Fox,253,6101.32,12272.29,14,0.0524,18.07
Sleep & Lounge,Men,Fun Boxers,253,1952.57,4786.67,15,0.056,16.87
Sleep & Lounge,Women,Casual Moments,252,7831.97,12828.86,18,0.0667,14.0
Swim,Men,Fox,251,7596.99,12974.11,22,0.0806,11.41
Swim,Women,Miraclesuit,250,15158.47,35951.28,26,0.0942,9.62
Jeans,Men,Dickies,250,5528.06,10302.54,20,0.0741,12.5
Sleep & Lounge,Women,Hello Kitty,249,4084.9,6687.55,23,0.0846,10.83
Sweaters,Men,Orvis,247,21150.17,41241.0,20,0.0749,12.35
Suits & Sport Coats,Men,Y&G,247,3687.2,8992.65,12,0.0463,20.58
Fashion Hoodies & Sweatshirts,Women,Activewear Apparel,246,4452.33,9563.54,14,0.0538,17.57
Sleep & Lounge,Men,Briefly Stated,245,1719.96,4210.92,23,0.0858,10.65
Blazers & Jackets,Women,Anne Klein,244,12011.84,31976.61,20,0.0758,12.2
Underwear,Men,Papi,244,2738.27,5782.82,11,0.0431,22.18
Leggings,Women,Yelete,243,2339.89,3943.62,22,0.083,11.05
Sweaters,Women,Tommy Hilfiger,242,4876.53,10632.34,18,0.0692,13.44
Fashion Hoodies & Sweatshirts,Women,Life Is Good,241,7164.42,15033.0,22,0.0837,10.95
Dresses,Women,Patty,241,4029.51,9227.52,22,0.0837,10.95
Intimates,Women,Jockey,236,2741.16,5180.45,16,0.0635,14.75
Sleep & Lounge,Women,Carole Hochman,235,10073.83,16812.87,14,0.0562,16.79
Shorts,Men,Volcom,235,5680.0,11191.87,12,0.0486,19.58
Sleep & Lounge,Men,Intimo,235,5548.92,13955.94,17,0.0675,13.82
Jeans,Men,AG Adriano Goldschmied,234,21304.41,40765.85,20,0.0787,11.7
Suits,Women,Tahari,234,20542.42,33919.13,11,0.0449,21.27
Accessories,Women,TrendsBlue,233,868.8,2208.95,18,0.0717,12.94
Suits & Sport Coats,Men,Giorgio Cerruti,232,6357.11,15878.4,14,0.0569,16.57
Sweaters,Women,Patty,231,4572.65,10151.11,14,0.0571,16.5
Maternity,Women,Ecoscapes,231,3825.19,8859.53,23,0.0906,10.04
Shorts,Men,IZOD,231,3169.1,6366.5,19,0.076,12.16
Maternity,Women,Belly Bandit,230,6444.48,14564.5,20,0.08,11.5
Dresses,Women,Jones New York,229,11882.7,26328.05,24,0.0949,9.54
Fashion Hoodies & Sweatshirts,Men,Ed Hardy,229,5938.51,11057.91,15,0.0615,15.27
Intimates,Women,Champion,229,4399.51,8226.37,14,0.0576,16.36
Intimates,Women,VIVILLI,228,2957.21,5602.0,14,0.0579,16.29
Underwear,Men,Gregg Homme,228,2715.26,5840.69,14,0.0579,16.29
Outerwear & Coats,Men,Alpha Industries,227,20380.62,46852.74,15,0.062,15.13
Sleep & Lounge,Women,Up2date Fashion,227,1786.81,2944.21,19,0.0772,11.95
Sweaters,Men,Perry Ellis,225,6035.0,12088.25,22,0.0891,10.23
Active,Men,ExOfficio,225,4783.15,11302.26,12,0.0506,18.75
Leggings,Women,FineBrandShop,225,1325.73,2263.0,15,0.0625,15.0
Suits,Women,Le Suit,224,16877.27,28307.13,14,0.0588,16.0
Dresses,Women,Calvin Klein,224,11093.2,24434.15,16,0.0667,14.0
Outerwear & Coats,Women,Carhartt,223,11113.42,25244.42,12,0.0511,18.58
Dresses,Women,KAMALIKULTURE,223,9041.65,20033.42,26,0.1044,8.58
Accessories,Women,Oakley,222,11693.43,29058.23,17,0.0711,13.06
Sweaters,Men,Pendleton,221,12337.72,24900.38,20,0.083,11.05
Intimates,Women,Corset Story,221,4583.33,8577.0,18,0.0753,12.28
Socks & Hosiery,Women,K. Bell,221,1168.74,2868.56,19,0.0792,11.63
Sleep & Lounge,Women,Natori,220,16274.74,27077.3,22,0.0909,10.0
Blazers & Jackets,Women,Jones New York,220,10241.16,26676.88,10,0.0435,22.0
Jeans,Men,Rock Revival,219,16354.7,30308.84,17,0.072,12.88
Shorts,Men,Jet Lag,219,11814.6,24058.0,9,0.0395,24.33
Pants,Men,Ed Garments,219,4528.37,9988.81,24,0.0988,9.13
Active,Men,Thorlo,219,2159.06,5296.01,12,0.0519,18.25
Jeans,Women,Hudson,218,20410.51,37687.23,17,0.0723,12.82
Swim,Women,Marina West,218,3020.9,7290.59,13,0.0563,16.77
Active,Women,Capezio,218,2144.7,4932.35,19,0.0802,11.47
Shorts,Women,Hurley,217,4067.73,8232.36,15,0.0647,14.47
Pants,Men,Dickies,217,3891.48,8285.18,12,0.0524,18.08
Socks,Men,Wrightsock,216,3202.56,5268.65,17,0.073,12.71
Underwear,Men,Dockers,216,2243.28,4690.24,19,0.0809,11.37
Pants,Men,Ralph Lauren,215,8283.14,18298.61,14,0.0611,15.36
Underwear,Men,Ed Hardy,215,1556.84,3339.94,20,0.0851,10.75
Swim,Men,Nautica,214,4867.29,8052.43,18,0.0776,11.89
Tops & Tees,Men,Geoffrey Beene,214,3760.14,6709.87,14,0.0614,15.29
Sleep & Lounge,Men,Ed Hardy,214,2517.3,6367.12,17,0.0736,12.59
Socks & Hosiery,Women,SK Hat shop,213,1491.88,3742.35,23,0.0975,9.26
Sweaters,Men,French Connection,212,11678.14,23263.76,16,0.0702,13.25
Outerwear & Coats,Men,London Fog,212,10283.73,23111.09,16,0.0702,13.25
Active,Men,PUMA,212,5229.4,12162.43,15,0.0661,14.13
Intimates,Women,Comfort Choice,211,2515.35,4803.89,12,0.0538,17.58
Accessories,Women,WARMEN,208,2341.79,5726.36,9,0.0415,23.11
Jeans,Men,Buffalo by David Bitton,207,11942.11,22443.0,15,0.0676,13.8
Shorts,Men,Lee,206,3901.01,7934.46,10,0.0463,20.6
Socks & Hosiery,Women,SmartWool,206,2100.39,5105.12,19,0.0844,10.84
Active,Women,Columbia,205,6144.79,14954.65,9,0.0421,22.78
Intimates,Women,Hanky Panky,204,6297.06,11921.09,19,0.0852,10.74
Outerwear & Coats,Women,Calvin Klein,203,10821.08,23411.24,16,0.0731,12.69
Swim,Men,Parke & Ronen,203,10722.41,17501.98,10,0.0469,20.3
Shorts,Women,Volcom,202,4203.17,8299.3,18,0.0818,11.22
Outerwear & Coats,Men,Port Authority,201,6446.18,14459.62,17,0.078,11.82
Fashion Hoodies & Sweatshirts,Men,Football Fanatics,201,5820.01,10400.95,16,0.0737,12.56
Swim,Men,TYR,201,4130.51,6867.59,11,0.0519,18.27
Fashion Hoodies & Sweatshirts,Men,Retrofit,200,3158.2,5875.78,13,0.061,15.38
Outerwear & Coats,Women,FineBrandShop,199,3637.98,8125.9,13,0.0613,15.31
Sweaters,Men,Port Authority,199,3305.33,6618.47,10,0.0478,19.9
Swim,Women,Cloris Murphy,199,2082.37,4993.01,20,0.0913,9.95
Jeans,Men,G-Star,198,18796.33,35448.6,13,0.0616,15.23
Dresses,Women,Anne Klein,198,8866.05,19632.44,10,0.0481,19.8
Tops & Tees,Men,Nautica,198,5505.87,9974.88,14,0.066,14.14
Intimates,Women,Warner's,198,2315.48,4351.46,8,0.0388,24.75
Socks,Men,point6,198,2216.39,3716.65,12,0.0571,16.5
Suits & Sport Coats,Men,Tasso Elba,197,8721.78,22207.18,14,0.0664,14.07
Swim,Women,Becca by Rebecca Virtue,197,6131.64,14286.0,17,0.0794,11.59
Intimates,Women,Anna-Kaci,195,2068.32,3920.5,9,0.0441,21.67
Jeans,Women,KUT from the Kloth,194,6646.86,12125.13,15,0.0718,12.93
Active,Men,Under Armour,194,3136.44,7495.0,8,0.0396,24.25
Active,Men,Wigwam,194,1308.72,3153.53,11,0.0537,17.64
Sweaters,Women,Eddie Bauer,193,5998.23,13800.35,21,0.0981,9.19
Underwear,Men,INDERA THERMALS,193,1451.27,3127.0,16,0.0766,12.06
Pants & Capris,Women,MANGO,192,3858.82,7493.08,15,0.0725,12.8
Maternity,Women,Mommy Paradise,192,2189.18,5000.15,10,0.0495,19.2
Sleep & Lounge,Men,Touch of Europe Flannel Pants,192,1975.51,5029.08,12,0.0588,16.0
Outerwear & Coats,Men,Woolrich,191,18705.62,40918.53,17,0.0817,11.24
Sweaters,Men,Ed Garments,191,5030.95,10088.09,14,0.0683,13.64
Shorts,Men,Columbia,191,4511.69,8944.93,13,0.0637,14.69
Sweaters,Men,Wool Overs,191,4198.69,8148.0,15,0.0728,12.73
Leggings,Women,Stella Elyse,191,3316.49,5392.09,6,0.0305,31.83
Pants & Capris,Women,Woman Within,191,2696.84,5276.09,16,0.0773,11.94
Socks,Men,Calvin Klein,191,2311.7,3848.32,9,0.045,21.22
Intimates,Women,Roma Costume,191,2133.2,4087.05,18,0.0861,10.61
Accessories,Women,Isotoner,191,2032.32,5106.61,15,0.0728,12.73
Sweaters,Women,eVogues Apparel,191,1996.31,4455.09,9,0.045,21.22
Maternity,Women,Maternal America,190,7152.14,16312.07,15,0.0732,12.67
Shorts,Men,Nautica,190,4279.66,8329.33,8,0.0404,23.75
Socks,Men,Polo Ralph Lauren,190,2696.59,4550.8,10,0.05,19.0
Sweaters,Men,Calvin Klein Jeans,189,5908.77,11966.97,11,0.055,17.18
Socks,Men,Marcoliani Milano,189,4960.71,8057.0,12,0.0597,15.75
Underwear,Men,Underworks,189,3902.43,8339.11,17,0.0825,11.12
Fashion Hoodies & Sweatshirts,Women,American Apparel,189,3887.71,8474.92,13,0.0644,14.54
Accessories,Men,Levi's,189,1531.68,3831.3,20,0.0957,9.45
Socks,Men,Carhartt,189,1429.01,2363.91,15,0.0735,12.6
Outerwear & Coats,Men,Arc'teryx,188,29908.41,68494.35,11,0.0553,17.09
Sleep & Lounge,Men,Knothe,188,3649.06,9205.29,14,0.0693,13.43
Dresses,Women,BCBGMAXAZRIA,187,20575.55,46176.15,13,0.065,14.38
Dresses,Women,maxandcleo,187,10481.69,22524.33,16,0.0788,11.69
Tops & Tees,Men,Gildan,187,1909.43,3308.39,15,0.0743,12.47
Socks,Men,SockGuy,187,1608.74,2747.84,14,0.0697,13.36
Sweaters,Women,FineBrandShop,187,942.33,2110.25,13,0.065,14.38
Pants,Men,Nautica,186,5155.23,11240.84,18,0.0882,10.33
Tops & Tees,Men,Quiksilver,186,4726.08,8345.3,8,0.0412,23.25
Pants,Men,Bullhead,186,3794.95,8321.44,7,0.0363,26.57
Socks,Men,Icebreaker,186,2341.34,3848.0,14,0.07,13.29
Shorts,Women,FineBrandShop,186,1188.92,2427.25,12,0.0606,15.5
Accessories,Women,Luxury Divas,186,1150.04,2899.49,10,0.051,18.6
Fashion Hoodies & Sweatshirts,Men,Calvin Klein,184,7365.79,13359.73,14,0.0707,13.14
Pants,Men,Kenneth Cole,184,4640.64,10101.38,17,0.0846,10.82
Intimates,Women,Betsey Johnson,184,3393.31,6569.89,16,0.08,11.5
Intimates,Women,Jezebel,184,2860.33,5536.41,18,0.0891,10.22
Active,Women,Duofold,184,2254.19,5440.69,17,0.0846,10.82
Sweaters,Women,Sofie,183,10235.13,22355.15,15,0.0758,12.2
Tops & Tees,Women,Bella,183,2475.91,4478.1,22,0.1073,8.32
Active,Men,Duofold,183,2330.74,5584.94,11,0.0567,16.64
Intimates,Women,Only Hearts,182,5888.21,11212.0,14,0.0714,13.0
Accessories,Men,Nautica,182,1726.97,4390.06,8,0.0421,22.75
Leggings,Women,Soho Girls,182,957.66,1608.58,16,0.0808,11.38
Swim,Men,Oakley,181,7794.6,13193.73,14,0.0718,12.93
Tops & Tees,Men,Wrangler,181,3361.42,6064.9,21,0.104,8.62
Swim,Women,Beach Joy,181,2556.95,6243.24,16,0.0812,11.31
Accessories,Men,Tommy Hilfiger,181,1783.34,4440.24,15,0.0765,12.07
Fashion Hoodies & Sweatshirts,Men,Alternative,180,4734.24,8646.36,12,0.0625,15.0
Intimates,Women,Coquette,180,3707.98,7026.82,13,0.0674,13.85
Jeans,Men,Mavi,179,9137.22,17353.2,13,0.0677,13.77
Suits & Sport Coats,Men,Port Authority,179,5072.02,12396.07,12,0.0628,14.92
Sweaters,Women,Calvin Klein Jeans,179,4639.41,10382.78,17,0.0867,10.53
Accessories,Women,boxed-gifts,179,748.28,1932.46,9,0.0479,19.89
Dresses,Women,Lindy Bop,178,3761.4,8343.22,19,0.0964,9.37
Tops & Tees,Men,Hanes,178,2020.36,3585.55,16,0.0825,11.13
Plus,Women,SmartWool,178,1958.12,3927.3,8,0.043,22.25
