brand,category,department,units_sold,revenue,cost,gross_margin_dollars,gross_margin_rate
Oakley,Plus,Women,59,8195.62,4213.47,3982.15,0.4859
Cashmere Boutique,Outerwear & Coats,Men,19,7031.0,3068.48,3962.52,0.5636
Hurley,Fashion Hoodies & Sweatshirts,Men,127,8709.74,4751.78,3957.96,0.4544
Port Authority,Outerwear & Coats,Men,96,7143.29,3201.26,3942.03,0.5519
Barbour,Outerwear & Coats,Women,22,7218.0,3279.82,3938.18,0.5456
Three Seasons Maternity,Maternity,Women,201,7101.22,3174.56,3926.66,0.553
Caravelli,Suits & Sport Coats,Men,63,6486.85,2561.46,3925.39,0.6051
Diesel,Jeans,Women,50,8554.37,4644.38,3909.99,0.4571
Silver Jeans,Jeans,Women,108,8587.49,4678.81,3908.68,0.4552
Jessica Howard,Dresses,Women,69,7125.11,3235.04,3890.07,0.546
Spiewak,Outerwear & Coats,Men,29,7338.7,3451.43,3887.27,0.5297
Louis Raphael,Pants,Men,133,7094.67,3213.21,3881.46,0.5471
HUGO BOSS,Underwear,Men,232,7333.81,3474.07,3859.74,0.5263
Becca by Rebecca Virtue,Swim,Women,92,6744.0,2884.38,3859.62,0.5723
Icebreaker,Active,Men,54,6456.83,2621.26,3835.57,0.594
Kenneth Cole REACTION,Suits & Sport Coats,Men,32,6149.78,2330.21,3819.57,0.6211
7 For All Mankind,Shorts,Women,63,7570.19,3752.11,3818.08,0.5044
Tallia,Suits & Sport Coats,Men,45,6336.69,2524.94,3811.75,0.6015
Eddie Bauer,Sweaters,Women,92,6700.4,2911.82,3788.58,0.5654
Volcom,Swim,Men,189,9482.96,5714.45,3768.51,0.3974
Savane,Pants,Men,168,6933.12,3166.67,3766.45,0.5433
Scotch & Soda,Suits & Sport Coats,Men,27,6270.0,2516.15,3753.85,0.5987
L*Space,Swim,Women,73,6628.01,2874.86,3753.15,0.5663
Belly Bandit,Maternity,Women,103,6682.85,2957.84,3725.01,0.5574
True Religion,Shorts,Men,56,7251.15,3530.21,3720.94,0.5132
The Little Alpaca's House,Sweaters,Men,222,7422.78,3702.25,3720.53,0.5012
Roxy,Swim,Women,146,6332.49,2642.63,3689.86,0.5827
Calvin Klein,Swim,Women,68,6313.62,2628.19,3685.43,0.5837
Icebreaker,Active,Women,48,6142.79,2469.71,3673.08,0.5979
Flexees,Intimates,Women,199,8007.21,4344.15,3663.06,0.4575
Alexander Del Rossa,Sleep & Lounge,Men,124,6036.56,2397.08,3639.48,0.6029
Helly Hansen,Outerwear & Coats,Men,47,6761.56,3131.16,3630.4,0.5369
Volcom,Fashion Hoodies & Sweatshirts,Men,132,8121.02,4499.14,3621.88,0.446
Robert Rodriguez,Skirts,Women,14,5825.84,2235.77,3590.07,0.6162
Nicole Miller,Dresses,Women,20,6539.94,2958.9,3581.04,0.5476
Allegra K,Dresses,Women,550,6601.68,3027.16,3574.52,0.5415
Filson,Sweaters,Men,43,7150.0,3581.74,3568.26,0.4991
G-Star,Pants,Men,61,6730.46,3166.27,3564.19,0.5296
Robert Rodriguez,Dresses,Women,16,6020.0,2462.04,3557.96,0.591
O'Neill,Shorts,Men,159,7076.98,3523.42,3553.56,0.5021
Joie,Sweaters,Women,27,6308.56,2755.22,3553.34,0.5633
Nobis,Outerwear & Coats,Women,8,6510.0,2970.43,3539.57,0.5437
Icebreaker,Outerwear & Coats,Men,29,6199.8,2673.91,3525.89,0.5687
BCBGeneration,Dresses,Women,65,6405.74,2892.26,3513.48,0.5485
Intimo,Sleep & Lounge,Men,98,5776.63,2305.72,3470.91,0.6009
Reebok,Swim,Women,59,5997.34,2531.62,3465.72,0.5779
Nautica,Sweaters,Men,131,6850.69,3391.02,3459.67,0.505
Life Is Good,Fashion Hoodies & Sweatshirts,Women,107,6569.0,3118.39,3450.61,0.5253
Maternal America,Maternity,Women,71,6107.4,2665.45,3441.95,0.5636
Rebecca Minkoff,Blazers & Jackets,Women,18,5520.92,2090.29,3430.63,0.6214
J.C. Rags,Sweaters,Men,53,6828.38,3447.57,3380.81,0.4951
Frederick's of Hollywood,Intimates,Women,168,7199.0,3820.92,3378.08,0.4692
Juicy Couture,Fashion Hoodies & Sweatshirts,Women,70,6384.49,3007.74,3376.75,0.5289
Christopher Fischer,Sweaters,Women,57,6068.0,2697.14,3370.86,0.5555
Woolrich,Sweaters,Men,62,6777.92,3415.08,3362.84,0.4961
Yoana Baraschi,Blazers & Jackets,Women,21,5426.68,2072.91,3353.77,0.618
Allegra K,Fashion Hoodies & Sweatshirts,Women,354,6285.43,2933.81,3351.62,0.5332
PUMA,Active,Men,102,5840.23,2508.66,3331.57,0.5705
Cashmere Boutique,Outerwear & Coats,Women,19,6041.0,2709.52,3331.48,0.5515
Port Authority,Suits & Sport Coats,Men,77,5606.16,2284.5,3321.66,0.5925
Volcom,Tops & Tees,Men,196,7520.75,4201.24,3319.51,0.4414
Nike,Active,Men,148,5852.93,2533.56,3319.37,0.5671
Trina Turk,Swim,Women,40,5630.0,2335.62,3294.38,0.5851
Marmot,Outerwear & Coats,Men,34,5760.0,2477.08,3282.92,0.57
G-Star,Suits & Sport Coats,Men,17,5760.0,2477.16,3282.84,0.5699
Columbia,Tops & Tees,Men,129,7364.0,4083.32,3280.68,0.4455
Design History,Sweaters,Women,45,5979.84,2699.72,3280.12,0.5485
Hurley,Fashion Hoodies & Sweatshirts,Women,125,6190.23,2937.45,3252.78,0.5255
True Religion,Pants,Men,35,5905.52,2654.97,3250.55,0.5504
Mavi,Jeans,Men,71,6888.48,3646.51,3241.97,0.4706
Jessica Simpson,Dresses,Women,54,5873.22,2634.77,3238.45,0.5514
Billabong,Swim,Men,149,7952.06,4724.24,3227.82,0.4059
Perry Ellis,Pants,Men,144,5849.52,2635.38,3214.14,0.5495
Pendleton,Blazers & Jackets,Women,37,5208.03,2020.8,3187.23,0.612
NOM,Maternity,Women,73,5667.11,2485.62,3181.49,0.5614
Van Heusen,Tops & Tees,Men,178,7148.26,3992.24,3156.02,0.4415
Naturally by Derek Rose,Sleep & Lounge,Men,63,5283.64,2141.04,3142.6,0.5948
Lucky Brand,Tops & Tees,Women,128,7012.35,3882.86,3129.49,0.4463
Rock Revival,Jeans,Women,50,6763.26,3644.25,3119.01,0.4612
Bergama,Outerwear & Coats,Women,7,5249.93,2147.22,3102.71,0.591
Maui Jim,Accessories,Women,28,5194.09,2115.3,3078.79,0.5927
Nautica,Outerwear & Coats,Men,58,5566.11,2488.99,3077.12,0.5528
Elie Tahari,Suits & Sport Coats,Men,25,4914.82,1839.68,3075.14,0.6257
Anne Klein,Outerwear & Coats,Women,42,5652.76,2583.62,3069.14,0.5429
Icebreaker,Sweaters,Men,29,6229.95,3174.89,3055.06,0.4904
Duofold,Underwear,Men,197,5799.03,2760.34,3038.69,0.524
Momo Maternity,Maternity,Women,62,5546.0,2509.62,3036.38,0.5475
Calvin Klein Jeans,Jeans,Women,118,6465.43,3433.02,3032.41,0.469
MAXSTUDIO,Blazers & Jackets,Women,20,4710.0,1688.44,3021.56,0.6415
2(x)ist,Underwear,Men,219,5664.5,2655.67,3008.83,0.5312
Jones New York,Outerwear & Coats,Women,32,5476.17,2473.06,3003.11,0.5484
FactoryExtreme,Blazers & Jackets,Women,23,4875.54,1881.63,2993.91,0.6141
Perry Ellis,Outerwear & Coats,Men,38,5272.86,2289.89,2982.97,0.5657
Kenneth Cole,Suits & Sport Coats,Men,41,5113.42,2144.58,2968.84,0.5806
Nobis,Outerwear & Coats,Men,6,5100.0,2135.7,2964.3,0.5812
Parke & Ronen,Swim,Men,89,7534.45,4598.77,2935.68,0.3896
Shephe,Sweaters,Men,32,5862.0,2937.22,2924.78,0.4989
TUMI,Accessories,Men,69,4973.69,2051.21,2922.48,0.5876
Fox,Shorts,Men,117,5804.95,2898.16,2906.79,0.5007
Carhartt,Pants,Men,71,5443.83,2539.6,2904.23,0.5335
Allegra K,Suits & Sport Coats,Men,277,4883.89,1987.92,2895.97,0.593
Maidenform,Intimates,Women,261,6109.91,3216.5,2893.41,0.4736
Carhartt,Accessories,Men,199,4794.23,1902.99,2891.24,0.6031
BedHead,Sleep & Lounge,Women,49,7396.16,4513.29,2882.87,0.3898
Mantoni,Suits & Sport Coats,Men,22,4798.9,1916.91,2881.99,0.6006
Perry Ellis,Sweaters,Men,102,5732.2,2867.73,2864.47,0.4997
Adrianna Papell,Dresses,Women,43,5228.61,2371.98,2856.63,0.5463
Tom Ford,Accessories,Women,20,4618.01,1767.29,2850.72,0.6173
Tom Ford,Accessories,Men,17,4468.6,1621.45,2847.15,0.6371
ASICS,Active,Women,57,4855.97,2017.32,2838.65,0.5846
Nautica,Pants,Men,85,5237.01,2398.49,2838.52,0.542
ExOfficio,Active,Men,102,4916.61,2083.65,2832.96,0.5762
Moncler,Outerwear & Coats,Men,9,4950.0,2143.35,2806.65,0.567
Vivienne Westwood,Blazers & Jackets,Women,13,4450.0,1648.11,2801.89,0.6296
Carole Hochman,Sleep & Lounge,Women,99,6968.47,4173.17,2795.3,0.4011
Spiewak,Outerwear & Coats,Women,28,5102.57,2317.8,2784.77,0.5458
Outdoor Research,Outerwear & Coats,Men,24,5130.0,2347.31,2782.69,0.5424
Tommy Hilfiger,Sweaters,Women,116,5124.72,2343.59,2781.13,0.5427
Patty,Sweaters,Women,114,5049.04,2274.76,2774.28,0.5495
Alpinestars,Fashion Hoodies & Sweatshirts,Men,119,6201.82,3435.98,2765.84,0.446
Antique Rivet,Jeans,Men,59,5794.36,3031.68,2762.68,0.4768
Kenneth Cole New York,Suits & Sport Coats,Men,16,4297.92,1544.7,2753.22,0.6406
Cardi International,Suits & Sport Coats,Men,53,4551.35,1799.54,2751.81,0.6046
Ben Sherman,Sweaters,Men,59,5640.77,2895.96,2744.81,0.4866
Metal Mulisha,Fashion Hoodies & Sweatshirts,Men,114,6210.44,3465.95,2744.49,0.4419
UjENA,Swim,Women,47,4807.0,2062.54,2744.46,0.5709
Hot Topic,Jeans,Men,156,5831.73,3087.53,2744.2,0.4706
Nine West,Suits,Women,55,6720.45,3980.9,2739.55,0.4076
Oxfords Cashmere,Sweaters,Men,18,5122.0,2383.31,2738.69,0.5347
Diesel,Blazers & Jackets,Women,14,4417.48,1681.02,2736.46,0.6195
DL1961,Jeans,Women,46,6202.57,3467.23,2735.34,0.441
Calvin Klein Jeans,Sweaters,Men,85,5382.17,2647.56,2734.61,0.5081
Ed Garments,Pants,Men,107,4981.93,2249.71,2732.22,0.5484
Beyond Yoga,Active,Women,59,4556.0,1847.22,2708.78,0.5946
J.C. Rags,Suits & Sport Coats,Men,31,4587.44,1878.79,2708.65,0.5904
Playtex,Intimates,Women,133,5693.8,2985.34,2708.46,0.4757
Minnie Rose,Sweaters,Women,24,4764.28,2057.32,2706.96,0.5682
MontBell,Outerwear & Coats,Men,24,4656.8,1952.18,2704.62,0.5808
Lacoste,Sweaters,Men,34,5501.56,2797.73,2703.83,0.4915
Jordan,Shorts,Men,6,5418.0,2725.25,2692.75,0.497
Outdoor Research,Outerwear & Coats,Women,25,4999.8,2310.19,2689.61,0.5379
Larry Levine,Outerwear & Coats,Women,55,4796.1,2120.8,2675.3,0.5578
French Connection,Suits & Sport Coats,Men,17,4516.0,1842.05,2673.95,0.5921
Prairie Underground,Fashion Hoodies & Sweatshirts,Women,19,4986.0,2333.29,2652.71,0.532
Miss Me,Jeans,Women,58,5751.78,3111.24,2640.54,0.4591
MANGO,Blazers & Jackets,Women,62,4134.38,1504.5,2629.88,0.6361
laundry by SHELLI SEGAL,Dresses,Women,22,4654.94,2030.34,2624.6,0.5638
Polo Ralph Lauren,Pants,Men,52,4891.78,2284.71,2607.07,0.5329
KNOTHE CORP.,Sleep & Lounge,Men,141,4388.61,1781.99,2606.62,0.594
GUESS,Suits & Sport Coats,Men,29,4352.0,1767.4,2584.6,0.5939
Catherine Malandrino,Pants & Capris,Women,11,4998.02,2427.7,2570.32,0.5143
Hot Topic,Fashion Hoodies & Sweatshirts,Men,126,5662.0,3108.16,2553.84,0.451
Sweet Mommy,Maternity,Women,56,4602.75,2049.48,2553.27,0.5547
Only Hearts,Intimates,Women,84,5414.0,2862.81,2551.19,0.4712
Robert Graham,Shorts,Men,37,5154.88,2606.52,2548.36,0.4944
Hanky Panky,Intimates,Women,89,5396.8,2848.78,2548.02,0.4721
KUT from the Kloth,Jeans,Women,87,5701.65,3160.56,2541.09,0.4457
Kenneth Cole,Pants,Men,85,4688.58,2158.06,2530.52,0.5397
Calvin Klein,Fashion Hoodies & Sweatshirts,Men,77,5655.03,3125.82,2529.21,0.4472
Karla Colletto,Swim,Women,17,4248.6,1720.26,2528.34,0.5951
Calvin Klein Jeans,Sweaters,Women,76,4545.79,2019.03,2526.76,0.5558
Pendleton,Sweaters,Women,34,4443.14,1950.49,2492.65,0.561
7 For All Mankind,Pants,Men,29,4593.33,2108.38,2484.95,0.541
Queenshiny,Sweaters,Women,18,4582.0,2102.65,2479.35,0.5411
Kenneth Cole,Outerwear & Coats,Women,36,4431.86,1958.13,2473.73,0.5582
Kuhl,Outerwear & Coats,Men,40,4456.0,1985.1,2470.9,0.5545
Corset-story,Intimates,Women,60,5204.97,2746.19,2458.78,0.4724
Hillside USA Leather Inc.,Suits & Sport Coats,Men,23,4257.0,1799.27,2457.73,0.5773
