brand,category,department,units_sold_90d,sales_dollars_90d,inventory_units,inventory_cost,unit_cover_ratio,action_flag
Rock Revival,Jeans,Men,18,2505.8499908447266,240,17560.334467164939,13.33,Margin Watch
AG Adriano Goldschmied,Jeans,Women,14,2502.9700164794922,104,9519.151584764244,7.43,Margin Watch
Jones New York,Suits & Sport Coats,Men,11,2494.1699829101562,111,9964.3667015625942,10.09,Margin Watch
Fox,Fashion Hoodies & Sweatshirts,Women,44,2481.5800075531006,408,10899.306709844883,9.27,Hold
Natori,Sleep & Lounge,Women,22,2466.8999977111816,243,16969.713234716815,11.05,Hold
MICHAEL Michael Kors,Outerwear & Coats,Women,19,2465.6499786376953,212,14201.944038247144,11.16,Margin Watch
Hudson,Jeans,Men,14,2444.3400268554688,191,17995.194061904072,13.64,Margin Watch
Tommy Hilfiger,Sweaters,Men,33,2413.7300148010254,454,16262.526035385874,13.76,Hold
Tahari,Suits,Women,16,2401.4500045776367,247,22407.154913114329,15.44,Margin Watch
Mountain Hardwear,Active,Women,14,2395,118,7453.754179794817,8.43,Margin Watch
Fox,Fashion Hoodies & Sweatshirts,Men,33,2385.4199962615967,373,14335.131690446877,11.3,Hold
HUGO BOSS,Sleep & Lounge,Men,37,2376.8100204467773,611,16516.551421704164,16.51,Hold
American Essentials,Sleep & Lounge,Men,32,2349.8300018310547,402,10683.411468533275,12.56,Hold
KAMALIKULTURE,Dresses,Women,25,2320.9799957275391,235,9447.82641514259,9.4,Hold
Sofie,Sweaters,Women,19,2304.4500007629395,199,11302.909684326914,10.47,Margin Watch
Hanes,Underwear,Men,86,2290.32000541687,1121,13912.49354344194,13.03,Hold
Robert Rodriguez,Skirts,Women,5,2283.9600067138672,29,4594.5478868046794,5.8,Markdown Risk
The North Face,Outerwear & Coats,Women,14,2277.8000411987305,144,16937.937359016629,10.29,Margin Watch
Volcom,Outerwear & Coats,Men,13,2240.8499908447266,158,11116.528435490376,12.15,Margin Watch
Ray-Ban,Plus,Women,17,2223.8599853515625,253,14339.911232758957,14.88,Margin Watch
Carhartt,Tops & Tees,Men,46,2149.8499984741211,551,14434.887789108723,11.98,Hold
Magaschoni,Sweaters,Women,5,2142,52,8830.5619929507375,10.4,Markdown Risk
Canada Goose,Outerwear & Coats,Women,3,2140,57,16676.254973430187,19,Markdown Risk
Hanro,Sleep & Lounge,Men,18,2124.8700180053711,288,15474.183848174451,16,Margin Watch
Calvin Klein,Underwear,Men,75,2111.3900032043457,1094,14946.863638322469,14.59,Hold
Regency New York,Sleep & Lounge,Men,6,2099.7000732421875,76,10996.579326329305,12.67,Markdown Risk
Levi's,Outerwear & Coats,Men,24,2089.0699691772461,339,15967.229514999006,14.13,Hold
Lacoste,Sweaters,Men,9,2045.8600311279297,70,6880.7654285489352,7.78,Markdown Risk
Pendleton,Sweaters,Men,19,2040.6800003051758,229,12957.486921050826,12.05,Margin Watch
Champion,Active,Men,51,2030.6099796295166,678,12787.803869269123,13.29,Hold
United Face,Outerwear & Coats,Women,10,2020,116,11003.514976708218,11.6,Margin Watch
DC,Fashion Hoodies & Sweatshirts,Men,36,2004.4199981689453,428,12769.405846697302,11.89,Hold
Haggar,Pants,Men,50,1989.7600440979004,791,14981.24849558391,15.82,Hold
Perry Ellis,Outerwear & Coats,Men,12,1988.0700187683105,99,6196.078555288851,8.25,Margin Watch
Jones New York,Blazers & Jackets,Women,17,1987.3900146484375,214,10493.245901900031,12.59,Margin Watch
King Formal Wear,Suits & Sport Coats,Men,41,1969.589958190918,455,9356.28696056534,11.1,Hold
Carhartt,Outerwear & Coats,Women,18,1964.4499778747559,247,12225.665902329252,13.72,Margin Watch
Lucky Brand,Jeans,Women,24,1955.2400169372559,335,14839.735708783912,13.96,Hold
adidas,Active,Men,55,1946.3800029754639,675,9015.2572146288712,12.27,Hold
US Fairytailes,Dresses,Women,17,1939.8300247192383,202,11410.52126922336,11.88,Margin Watch
Calvin Klein,Outerwear & Coats,Women,16,1929.4800033569336,219,11568.655061036441,13.69,Margin Watch
Volcom,Pants,Men,17,1922.1499862670898,130,6174.253892765244,7.65,Margin Watch
Columbia,Active,Men,35,1921.4099998474121,381,8858.298607148181,10.89,Hold
Volcom,Jeans,Men,26,1919.4499740600586,304,11715.188926688608,11.69,Hold
maxandcleo,Dresses,Women,17,1906.2099914550781,187,10014.518417172827,11,Margin Watch
Michael Kors,Suits & Sport Coats,Men,10,1905.920036315918,173,11471.738789722052,17.3,Margin Watch
Kenneth Cole,Outerwear & Coats,Men,18,1903.4699668884277,298,15886.573892967315,16.56,Margin Watch
G-Star,Pants,Men,15,1903.1699752807617,138,7421.9685404728034,9.2,Margin Watch
Jones New York,Pants & Capris,Women,29,1892.5099849700928,337,10418.250213551033,11.62,Hold
Sutton Studio,Sweaters,Women,15,1889.3200225830078,233,13492.765825025055,15.53,Margin Watch
Ralph Lauren,Pants,Men,24,1887.0199737548828,255,9502.59874100342,10.63,Hold
Roxy,Fashion Hoodies & Sweatshirts,Women,36,1856.1000022888184,467,10953.039647475331,12.97,Hold
Jones New York,Outerwear & Coats,Women,6,1852.7099914550781,74,8169.2783740006962,12.33,Markdown Risk
Derek Rose,Sleep & Lounge,Men,11,1840,139,11399.642454506829,12.64,Margin Watch
Anne Klein,Blazers & Jackets,Women,13,1819.2000045776367,235,12682.725079298571,18.08,Margin Watch
Allegra K,Blazers & Jackets,Women,124,1814.6600065231323,1456,8223.9376366444212,11.74,Hold
Jordan,Active,Men,2,1806,15,5553.4500272478908,7.5,Markdown Risk
Jordan,Shorts,Men,2,1806,17,7721.5530004003094,8.5,Markdown Risk
Tommy Hilfiger,Outerwear & Coats,Women,16,1799.6699905395508,142,6797.3821052115236,8.88,Margin Watch
Dickies,Outerwear & Coats,Men,24,1798.0299987792969,245,8275.5510535096982,10.21,Hold
Jessica Howard,Dresses,Women,16,1783.1799926757812,176,7875.2680859089733,11,Margin Watch
Hurley,Fashion Hoodies & Sweatshirts,Men,24,1774.869987487793,352,12831.00454935597,14.67,Hold
Hudson,Jeans,Women,9,1767,173,16906.919184699484,19.22,Markdown Risk
Oakley,Accessories,Women,16,1763.1199951171875,202,10525.937772219124,12.63,Margin Watch
Fred Perry,Sweaters,Men,14,1755.4000015258789,215,14130.986002341939,15.36,Margin Watch
Champion,Active,Women,38,1747.2200088500977,535,8673.0766843394922,14.08,Hold
Carhartt,Jeans,Men,30,1715.9400272369385,357,10446.864126437486,11.9,Hold
Perry Ellis,Sweaters,Men,25,1712.4500007629395,279,7983.5164785695342,11.16,Hold
Cashmere Boutique,Outerwear & Coats,Women,4,1696,39,6491.4799880348146,9.75,Markdown Risk
Icebreaker,Active,Women,14,1690.3600082397461,118,5852.8126211128892,8.43,Margin Watch
Paul Fredrick,Pants,Men,16,1672,175,8350.1330152589362,10.94,Margin Watch
True Religion,Shorts,Women,13,1664.1100082397461,202,13020.342342295016,15.54,Margin Watch
A Pea in the Pod,Maternity,Women,32,1656,438,9642.4620307605946,13.69,Hold
Hurley,Swim,Men,27,1646.3599891662598,474,17827.915557859294,17.56,Hold
Columbia,Outerwear & Coats,Women,19,1637.1699905395508,276,11626.605763355643,14.53,Margin Watch
Billabong,Swim,Men,30,1620.340015411377,392,12522.319679986171,13.07,Hold
Nobis,Outerwear & Coats,Women,2,1620,20,7434.9599809013307,10,Markdown Risk
Intimo,Sleep & Lounge,Men,24,1613.3699913024902,209,5870.6331321755833,8.71,Hold
Nautica,Sweaters,Men,32,1610.8099899291992,287,7400.1820516871067,8.97,Hold
French Connection,Sweaters,Men,14,1609.7099952697754,186,10633.50204049427,13.29,Margin Watch
Carhartt,Active,Men,26,1605.4699687957764,364,8098.25141297931,14,Hold
Adrianna Papell,Dresses,Women,12,1601.0000076293945,113,6350.7008937759983,9.42,Margin Watch
Le Suit,Suits,Women,13,1598.8099975585938,236,17592.149404070755,18.15,Margin Watch
Kiyonna,Dresses,Women,12,1596,157,9446.8079805667512,13.08,Margin Watch
Levi's,Jeans,Men,27,1589.6800155639648,396,12069.999703174864,14.67,Hold
Jones New York,Dresses,Women,14,1568.4000015258789,230,11231.064421028121,16.43,Margin Watch
Haggar,Suits & Sport Coats,Men,20,1564.6599960327148,332,11607.635483435884,16.6,Hold
Design History,Sweaters,Women,12,1553.4799728393555,96,5762.8913978242954,8,Margin Watch
Paul Fredrick,Sweaters,Men,18,1541,297,13442.599503769306,16.5,Margin Watch
Silver Jeans,Jeans,Women,20,1540.5300006866455,304,12997.336989855236,15.2,Hold
Laura,Intimates,Women,48,1536.7600345611572,630,10837.909433864812,13.13,Hold
Gottex,Swim,Women,9,1532.5,109,7216.2610284639522,12.11,Markdown Risk
Calvin Klein,Pants,Men,23,1529.3400077819824,338,9666.1413875756552,14.7,Hold
Volcom,Fashion Hoodies & Sweatshirts,Men,25,1526.3999977111816,296,10063.055869941227,11.84,Hold
BCBGMAXAZRIA,Blazers & Jackets,Women,8,1513.9599914550781,89,7317.7354161981175,11.13,Markdown Risk
Allegra K,Pants,Men,92,1513.8499975204468,985,7379.7962923861542,10.71,Hold
Volcom,Fashion Hoodies & Sweatshirts,Women,27,1502.6800003051758,317,8504.3495023926353,11.74,Hold
Rock Revival,Jeans,Women,11,1497.8499908447266,108,8336.781172704912,9.82,Margin Watch
Tommy Bahama,Sleep & Lounge,Men,30,1497.6200084686279,335,6692.4864668091977,11.17,Hold
Columbia,Active,Women,21,1492.6999969482422,184,4808.7825827707056,8.76,Hold
True Religion,Fashion Hoodies & Sweatshirts,Men,9,1487.1699523925781,108,10857.661244445877,12,Markdown Risk
Volcom,Swim,Men,31,1480.0700073242188,437,13203.127110844942,14.1,Hold
Eddie Bauer,Sweaters,Women,20,1473.9999656677244,174,5396.7194803249331,8.7,Hold
London Fog,Outerwear & Coats,Men,14,1473.0699920654297,202,9371.3760732376631,14.43,Margin Watch
Miss Me,Jeans,Women,15,1473,167,8985.7684584571234,11.13,Margin Watch
Parke & Ronen,Swim,Men,17,1469.9499969482422,184,9656.658898933063,10.82,Margin Watch
G-Star,Jeans,Men,8,1455.5,241,22870.7134068584,30.13,Markdown Risk
Dickies,Shorts,Men,36,1448.7300109863281,434,8860.34595097291,12.06,Hold
Anne Klein,Outerwear & Coats,Women,11,1447.2200012207031,79,4882.5551597974327,7.18,Margin Watch
Jockey,Underwear,Men,52,1446.5,691,8806.033012465341,13.29,Hold
Marmot,Outerwear & Coats,Men,9,1420,86,6170.2000142261386,9.56,Markdown Risk
French Connection,Dresses,Women,7,1411.8600006103516,106,6739.4172714086508,15.14,Markdown Risk
Giorgio Fiorelli,Suits & Sport Coats,Men,8,1399.5999755859375,86,6149.1873791262078,10.75,Markdown Risk
Columbia,Tops & Tees,Men,23,1357.3100051879883,255,8311.0604049417052,11.09,Hold
Icebreaker,Outerwear & Coats,Men,6,1349.9600219726562,62,6044.5357989531058,10.33,Markdown Risk
Wacoal,Intimates,Women,34,1349,494,11675.030432334528,14.53,Hold
Diesel,Jeans,Women,8,1347.2799987792969,107,9844.9914263026258,13.38,Markdown Risk
HUGO BOSS,Underwear,Men,39,1330.8299999237061,442,7566.0366296538223,11.33,Hold
Hurley,Shorts,Men,27,1314.1400032043457,531,12551.523606560619,19.67,Hold
Yoana Baraschi,Blazers & Jackets,Women,4,1311.6900024414062,52,5906.51213414333,13,Markdown Risk
Maidenform,Intimates,Women,49,1308.8099994659424,611,7540.2014299029479,12.47,Hold
Ballin,Pants,Men,9,1304.9699935913086,46,2842.0301696904835,5.11,Markdown Risk
Louis Raphael,Pants,Men,25,1304.7499904632568,357,8637.7568386242783,14.28,Hold
Spiewak,Outerwear & Coats,Men,5,1297.9499969482422,49,6274.4107861659031,9.8,Markdown Risk
Robert Graham,Suits & Sport Coats,Men,2,1296,25,6864.6259869784117,12.5,Markdown Risk
Three Seasons Maternity,Maternity,Women,37,1294.6600017547607,479,7523.5086661382966,12.95,Hold
Belly Bandit,Maternity,Women,19,1289.0499572753906,258,7473.6975252298907,13.58,Margin Watch
Flexees,Intimates,Women,31,1284.1599998474121,417,8855.682145638224,13.45,Hold
Pendleton,Blazers & Jackets,Women,8,1277.4499969482422,93,5618.9623207577379,11.63,Markdown Risk
Hot from Hollywood,Dresses,Women,32,1269.6800518035889,430,7823.34281929512,13.44,Hold
Spiewak,Outerwear & Coats,Women,7,1267.3900299072266,73,5987.28180806525,10.43,Markdown Risk
SmartWool,Sweaters,Men,9,1264.3699951171875,106,7548.8064345333405,11.78,Markdown Risk
Diesel,Underwear,Men,43,1257,561,7659.8078115904755,13.05,Hold
The Little Alpaca's House,Sweaters,Men,38,1256.6200523376465,519,8702.00533421249,13.66,Hold
Ripe Maternity,Maternity,Women,18,1254.189998626709,283,9094.5798005947836,15.72,Margin Watch
Tracy Reese,Dresses,Women,3,1254,25,5207.6999900490046,8.33,Markdown Risk
Cosabella,Intimates,Women,21,1249.7100076675415,354,11849.36396862722,16.86,Hold
Quiksilver,Fashion Hoodies & Sweatshirts,Men,21,1246.7799949645996,360,11887.726229827735,17.14,Hold
Casual Moments,Sleep & Lounge,Women,24,1245.7000102996826,314,9889.125055309225,13.08,Hold
Jax,Dresses,Women,10,1243.9899978637695,154,9099.0157810812962,15.4,Margin Watch
Diesel,Sweaters,Men,8,1230.6000061035156,126,10635.225239761628,15.75,Markdown Risk
DL1961,Jeans,Women,9,1230.3399963378906,109,8407.0044203766829,12.11,Markdown Risk
Melissa Odabash,Swim,Women,8,1221.9299926757812,144,9417.478673446938,18,Markdown Risk
Larry Levine,Outerwear & Coats,Women,13,1221.8799896240234,139,5447.4614383236258,10.69,Margin Watch
O'Neill,Shorts,Men,28,1213.3400096893311,319,6823.0426691260545,11.39,Hold
Buffalo by David Bitton,Jeans,Men,11,1209,187,11370.312977541122,17,Margin Watch
Jones New York,Sweaters,Women,12,1208,145,6632.2456412453867,12.08,Margin Watch
SmartWool,Active,Women,25,1206.1400060653687,308,6281.4553796910459,12.32,Hold
Nautica,Sleep & Lounge,Men,42,1204.7100048065186,759,8913.48522489849,18.07,Hold
Red Engine,Jeans,Women,7,1204,42,3851.5959937795997,6,Markdown Risk
Joe's Jeans,Blazers & Jackets,Women,5,1202,34,3160.7050221352838,6.8,Markdown Risk
Volcom,Tops & Tees,Men,31,1200.6600036621094,445,9327.3200078087866,14.35,Hold
Cashmere Boutique,Outerwear & Coats,Men,3,1197,34,5497.9440182936378,11.33,Markdown Risk
Bali,Plus,Women,17,1195.9300155639648,156,4583.3781364911647,9.18,Margin Watch
Football Fanatics,Fashion Hoodies & Sweatshirts,Men,23,1193.8500175476072,219,6366.2441487918413,9.52,Hold
Eliza J,Dresses,Women,8,1187.2500305175781,99,6835.4636284332964,12.38,Markdown Risk
Rebecca Taylor,Dresses,Women,3,1185,26,5005.2499911398627,8.67,Markdown Risk
Lucky Brand,Tops & Tees,Women,22,1171.9800033569336,254,8275.9394565356433,11.55,Hold
Silver Jeans,Jeans,Men,13,1170.9800033569336,266,12524.680060231733,20.46,Margin Watch
Tom Ford,Accessories,Women,5,1161.8000030517578,44,3858.8925752222758,8.8,Markdown Risk
Carole Hochman,Sleep & Lounge,Women,16,1151.5500030517578,252,10405.544571462073,15.75,Margin Watch
Alex Evenings,Blazers & Jackets,Women,10,1147.380012512207,108,4887.9508627102423,10.8,Margin Watch
BedHead,Sleep & Lounge,Women,7,1144,83,7753.175420947885,11.86,Markdown Risk
Metal Mulisha,Fashion Hoodies & Sweatshirts,Men,20,1141,233,7109.3144635563986,11.65,Hold
The Pajamagram Company,Sleep & Lounge,Women,18,1137.8200073242188,166,6500.5138718186,9.22,Margin Watch
Shephe,Sweaters,Men,6,1137,73,6660.3940019551665,12.17,Markdown Risk
Nike,Active,Women,7,1131.9799995422363,86,3939.6255429594812,12.29,Markdown Risk
True Religion,Pants,Men,7,1131.3899841308594,71,5256.6593006566463,10.14,Markdown Risk
Filson,Sweaters,Men,8,1131,79,5993.4360044025816,9.88,Markdown Risk
Spiewak,Suits & Sport Coats,Men,4,1128,25,2784.74999028258,6.25,Markdown Risk
FactoryExtreme,Blazers & Jackets,Women,5,1125.8999786376953,49,4172.7681103354416,9.8,Markdown Risk
Jet Lag,Shorts,Men,10,1120,193,10449.499499148224,19.3,Margin Watch
Roxy,Swim,Women,25,1119.6100044250488,305,5687.5404612898728,12.2,Hold
Calvin Klein,Dresses,Women,11,1117.7200050354004,227,11380.809989607156,20.64,Margin Watch
Nike,Socks,Men,13,1113.9599981307983,164,10309.974558638944,12.62,Margin Watch
Allegra K,Fashion Hoodies & Sweatshirts,Women,60,1107.3100004196167,694,5684.8837195010647,11.57,Hold
The North Face,Active,Men,2,1106.9900054931641,44,9565.5840798847748,22,Markdown Risk
Moncler,Outerwear & Coats,Men,2,1100,24,5715.6000148504972,12,Markdown Risk
Rebecca Minkoff,Blazers & Jackets,Women,3,1095,61,7597.0406747438892,20.33,Markdown Risk
Diesel,Tops & Tees,Men,12,1093.9500007629395,127,5763.3229919760943,10.58,Margin Watch
Vanity Fair,Intimates,Women,45,1090.3000078201294,551,6434.176339176669,12.24,Hold
True Religion,Shorts,Men,8,1089.3500061035156,113,7709.4019619430737,14.13,Markdown Risk
Karla Colletto,Swim,Women,4,1089,31,3530.2506145485881,7.75,Markdown Risk
Allegra K,Dresses,Women,93,1085.8599996566772,1267,6951.3586865529551,13.62,Hold
Via Spiga,Outerwear & Coats,Women,9,1081.7600021362305,158,9653.181120931913,17.56,Markdown Risk
Tommy Bahama,Sweaters,Men,9,1081,98,5185.07299964549,10.89,Markdown Risk
Duofold,Underwear,Men,33,1080.3599987030029,462,6780.6271861445775,14,Hold
Affliction,Jeans,Men,8,1080,74,5293.4484818533956,9.25,Markdown Risk
Savane,Pants,Men,28,1078.7100238800049,389,7031.2397813231055,13.89,Hold
KNOTHE CORP.,Sleep & Lounge,Men,34,1078.2200031280518,365,4698.9627687082084,10.74,Hold
Calvin Klein,Intimates,Women,46,1076.8000030517578,517,6288.4034026134686,11.24,Hold
Woolrich,Sweaters,Women,10,1074.1399993896484,122,5398.121063882033,12.2,Margin Watch
Trina Turk,Pants & Capris,Women,6,1068.3400115966797,68,7415.1732781361407,11.33,Markdown Risk
Club Room,Suits & Sport Coats,Men,6,1064.9700164794922,57,3980.3830377459717,9.5,Markdown Risk
Ulla Popken,Blazers & Jackets,Women,9,1061,54,2573.2680157059804,6,Markdown Risk
Catherine Malandrino,Leggings,Women,2,1057.6199951171875,10,2913.7431012044344,5,Markdown Risk
Eddie Bauer,Outerwear & Coats,Women,6,1055.8999938964844,41,3579.3639770783484,6.83,Markdown Risk
Rodd & Gunn,Sweaters,Men,7,1055,82,6407.7699993830174,11.71,Markdown Risk
Hot Topic,Jeans,Men,28,1052.9099998474121,357,7204.9864622777541,12.75,Hold
Polo Ralph Lauren,Pants,Men,9,1045.9699935913086,122,5503.8783448502954,13.56,Markdown Risk
Oakley,Swim,Men,16,1044.7200050354004,200,7321.0301236799987,12.5,Margin Watch
2(x)ist,Underwear,Men,40,1040.5,482,6057.1915096449666,12.05,Hold
SEX NIGHT,Intimates,Women,44,1037,512,6308.0509902858175,11.64,Hold
L*Space,Swim,Women,12,1034.5199890136719,131,4861.5784709086056,10.92,Margin Watch
Reebok,Swim,Women,10,1030,149,6533.428676883861,14.9,Margin Watch
Lesuit,Suits,Women,8,1028.0900039672852,56,4127.2292625797436,7,Markdown Risk
Maui Jim,Accessories,Women,4,1026,69,5548.2850775327079,17.25,Markdown Risk
Canada Goose,Active,Women,2,1025,23,3926.1800248548388,11.5,Markdown Risk
Patty,Sweaters,Women,24,1009.5900039672852,273,5132.7835056551685,11.38,Hold
Tommy Hilfiger,Outerwear & Coats,Men,5,1004.9699783325195,108,6801.0130030107484,21.6,Markdown Risk
Roxy,Outerwear & Coats,Women,7,1004.5,61,3693.7099893204868,8.71,Markdown Risk
Antique Rivet,Jeans,Men,10,1000.6599998474121,141,7315.5821654786942,14.1,Margin Watch
NEFF,Fashion Hoodies & Sweatshirts,Men,16,1000,218,6954.2252251281989,13.63,Margin Watch
Hot Topic,Fashion Hoodies & Sweatshirts,Men,21,998.5,313,7523.4720090624178,14.9,Hold
La Blanca,Swim,Women,11,997.69000244140625,112,4304.48821787913,10.18,Margin Watch
7 For All Mankind,Shorts,Women,10,994.77000427246094,143,8010.691718538892,14.3,Margin Watch
McGinn,Blazers & Jackets,Women,4,993.39999389648438,43,3684.0209396277232,10.75,Markdown Risk
O'Neill,Fashion Hoodies & Sweatshirts,Men,17,991.80000305175781,185,5697.4613810886249,10.88,Margin Watch
Nine West,Suits,Women,8,990.11000823974609,132,10126.127673088067,16.5,Markdown Risk
MiH Jeans,Blazers & Jackets,Women,2,990,10,1697.8500109165907,5,Markdown Risk
Kenneth Cole REACTION,Suits & Sport Coats,Men,4,989.97999572753906,54,3558.1841135462009,13.5,Markdown Risk
Christopher Fischer,Sweaters,Women,9,987.5,127,6315.9339935015887,14.11,Markdown Risk
Earnest Sewn,Jeans,Men,6,982.5,76,7457.7752428413369,12.67,Markdown Risk
Felina,Intimates,Women,24,979.71000099182129,325,5733.7076955103348,13.54,Hold
IGIGI by Yuliya Raquel,Dresses,Women,3,975,19,2587.3249985277653,6.33,Markdown Risk
Dolce & Gabbana,Plus,Women,4,972,26,3342.22199472785,6.5,Markdown Risk
Juicy Couture,Fashion Hoodies & Sweatshirts,Women,10,970.94999313354492,135,5970.1454500706677,13.5,Margin Watch
Helly Hansen,Outerwear & Coats,Men,6,968.20001220703125,92,5533.0756391566047,15.33,Markdown Risk
Calvin Klein,Swim,Women,9,966.93000793457031,155,6598.8008014795378,17.22,Markdown Risk
Rip Curl,Swim,Men,20,964.88000106811523,181,5143.5575480892185,9.05,Hold
Harley-Davidson,Tops & Tees,Men,30,963.55001831054688,375,7206.7449599926877,12.5,Hold
